COD_MUN,Ano,Valor,Indicador,GeoType
350010,2017,"1,64",Consultas,Municipio
350020,2017,"3,44",Consultas,Municipio
350030,2017,"1,24",Consultas,Municipio
350040,2017,"3,56",Consultas,Municipio
350050,2017,"0,58",Consultas,Municipio
350055,2017,"4,02",Consultas,Municipio
350060,2017,"0,79",Consultas,Municipio
350070,2017,"1,86",Consultas,Municipio
350075,2017,"3,33",Consultas,Municipio
350080,2017,"3,1",Consultas,Municipio
350090,2017,"3,76",Consultas,Municipio
350100,2017,"1,55",Consultas,Municipio
350110,2017,"1,33",Consultas,Municipio
350115,2017,"0,51",Consultas,Municipio
350120,2017,"2,25",Consultas,Municipio
350130,2017,"1,34",Consultas,Municipio
350140,2017,"1,18",Consultas,Municipio
350150,2017,"1,78",Consultas,Municipio
350160,2017,"0,38",Consultas,Municipio
350170,2017,"2,78",Consultas,Municipio
350180,2017,"3,4",Consultas,Municipio
350190,2017,"0,91",Consultas,Municipio
350200,2017,"3,37",Consultas,Municipio
350210,2017,"2,08",Consultas,Municipio
350220,2017,"1,09",Consultas,Municipio
350230,2017,"1,63",Consultas,Municipio
350240,2017,"1,32",Consultas,Municipio
350250,2017,"0,37",Consultas,Municipio
350260,2017,"3,29",Consultas,Municipio
350270,2017,"0,73",Consultas,Municipio
350275,2017,"0,99",Consultas,Municipio
350280,2017,"1,12",Consultas,Municipio
350290,2017,"0,91",Consultas,Municipio
350300,2017,"2,6",Consultas,Municipio
350310,2017,"0,93",Consultas,Municipio
350315,2017,"0,58",Consultas,Municipio
350320,2017,"0,73",Consultas,Municipio
350330,2017,"0,8",Consultas,Municipio
350335,2017,"2,96",Consultas,Municipio
350340,2017,"2,35",Consultas,Municipio
350350,2017,"3,4",Consultas,Municipio
350360,2017,"1,12",Consultas,Municipio
350370,2017,"4,13",Consultas,Municipio
350380,2017,"0,9",Consultas,Municipio
350390,2017,"0,42",Consultas,Municipio
350395,2017,"5,42",Consultas,Municipio
350400,2017,"0,97",Consultas,Municipio
350410,2017,"0,41",Consultas,Municipio
350420,2017,"1,83",Consultas,Municipio
350430,2017,"1,28",Consultas,Municipio
350440,2017,"3,2",Consultas,Municipio
350450,2017,"0,7",Consultas,Municipio
350460,2017,"1,58",Consultas,Municipio
350470,2017,"2,28",Consultas,Municipio
350480,2017,"7,16",Consultas,Municipio
350490,2017,"0,78",Consultas,Municipio
350500,2017,"2,75",Consultas,Municipio
350510,2017,"4,74",Consultas,Municipio
350520,2017,"1,75",Consultas,Municipio
350530,2017,"0,69",Consultas,Municipio
350535,2017,"0,16",Consultas,Municipio
350540,2017,"2,01",Consultas,Municipio
350550,2017,"1,1",Consultas,Municipio
350560,2017,"0,93",Consultas,Municipio
350570,2017,"1,57",Consultas,Municipio
350580,2017,"2,04",Consultas,Municipio
350590,2017,"1,05",Consultas,Municipio
350600,2017,"0,17",Consultas,Municipio
350610,2017,"1,07",Consultas,Municipio
350620,2017,"1,95",Consultas,Municipio
350630,2017,"10,57",Consultas,Municipio
350635,2017,"0,83",Consultas,Municipio
350640,2017,"1,88",Consultas,Municipio
350650,2017,"0,99",Consultas,Municipio
350660,2017,"0,58",Consultas,Municipio
350670,2017,"0,63",Consultas,Municipio
350680,2017,"6,81",Consultas,Municipio
350690,2017,"3,29",Consultas,Municipio
350700,2017,"0,71",Consultas,Municipio
350710,2017,"3,29",Consultas,Municipio
350715,2017,"0,67",Consultas,Municipio
350720,2017,"7,51",Consultas,Municipio
350730,2017,"2,97",Consultas,Municipio
350740,2017,"1,71",Consultas,Municipio
350745,2017,"2,08",Consultas,Municipio
350750,2017,"1,32",Consultas,Municipio
350760,2017,"0,52",Consultas,Municipio
350770,2017,"3,52",Consultas,Municipio
350775,2017,"1,94",Consultas,Municipio
350780,2017,"1,75",Consultas,Municipio
350790,2017,"1,29",Consultas,Municipio
350800,2017,"0,45",Consultas,Municipio
350810,2017,"1,75",Consultas,Municipio
350820,2017,"2,98",Consultas,Municipio
350830,2017,"2,04",Consultas,Municipio
350840,2017,"2,54",Consultas,Municipio
350850,2017,"1,97",Consultas,Municipio
350860,2017,"0,87",Consultas,Municipio
350870,2017,"3,61",Consultas,Municipio
350880,2017,"1,06",Consultas,Municipio
350890,2017,"2,3",Consultas,Municipio
350900,2017,"0,71",Consultas,Municipio
350910,2017,"1,14",Consultas,Municipio
350920,2017,"0,62",Consultas,Municipio
350925,2017,"1,57",Consultas,Municipio
350930,2017,"1,32",Consultas,Municipio
350940,2017,"0,71",Consultas,Municipio
350945,2017,"2,92",Consultas,Municipio
350950,2017,"0,28",Consultas,Municipio
350960,2017,"0,25",Consultas,Municipio
350970,2017,"2,69",Consultas,Municipio
