COD_MUN,Ano,Valor,Indicador,GeoType
350010,2016,"16,22",Mortalidade,Municipio
350030,2016,"20,51",Mortalidade,Municipio
350040,2016,"11,9",Mortalidade,Municipio
350050,2016,"9,48",Mortalidade,Municipio
350055,2016,"23,26",Mortalidade,Municipio
350070,2016,"19,61",Mortalidade,Municipio
350075,2016,25,Mortalidade,Municipio
350080,2016,"71,43",Mortalidade,Municipio
350090,2016,"18,87",Mortalidade,Municipio
350100,2016,"16,67",Mortalidade,Municipio
350115,2016,"11,28",Mortalidade,Municipio
350130,2016,"14,75",Mortalidade,Municipio
350160,2016,"7,21",Mortalidade,Municipio
350170,2016,"7,14",Mortalidade,Municipio
350190,2016,"4,91",Mortalidade,Municipio
350200,2016,"18,18",Mortalidade,Municipio
350210,2016,"14,49",Mortalidade,Municipio
350220,2016,"8,6",Mortalidade,Municipio
350240,2016,"33,33",Mortalidade,Municipio
350250,2016,"13,86",Mortalidade,Municipio
350270,2016,"35,19",Mortalidade,Municipio
350275,2016,"13,2",Mortalidade,Municipio
350280,2016,"12,94",Mortalidade,Municipio
350290,2016,"9,07",Mortalidade,Municipio
350320,2016,"9,46",Mortalidade,Municipio
350330,2016,"11,87",Mortalidade,Municipio
350340,2016,"21,74",Mortalidade,Municipio
350350,2016,"23,26",Mortalidade,Municipio
350370,2016,25,Mortalidade,Municipio
350380,2016,"3,04",Mortalidade,Municipio
350390,2016,"14,52",Mortalidade,Municipio
350400,2016,"7,32",Mortalidade,Municipio
350410,2016,"8,73",Mortalidade,Municipio
350450,2016,"11,57",Mortalidade,Municipio
350460,2016,"4,65",Mortalidade,Municipio
350490,2016,"22,22",Mortalidade,Municipio
350500,2016,20,Mortalidade,Municipio
350510,2016,"11,36",Mortalidade,Municipio
350520,2016,"9,98",Mortalidade,Municipio
350530,2016,"6,35",Mortalidade,Municipio
350550,2016,"14,38",Mortalidade,Municipio
350560,2016,"16,95",Mortalidade,Municipio
350570,2016,9,Mortalidade,Municipio
350580,2016,"10,71",Mortalidade,Municipio
